Date,Salesperson,Product,Quantity Sold,Total Sales
2024-07-19,Charlie,Product B,16,1263.11
2024-07-19,Bob,Product A,9,316.74
2024-07-19,Charlie,Product A,3,233.21
2024-07-19,Charlie,Product C,13,1009.52
2024-07-19,Bob,Product B,20,243.6
2024-07-19,Charlie,Product A,5,108.94
2024-07-18,Charlie,Product C,16,943.17
2024-07-18,David,Product C,17,745.35
2024-07-18,Charlie,Product B,4,312.74
2024-07-18,Alice,Product B,5,166.54
2024-07-18,Charlie,Product B,5,412.78
2024-07-17,Bob,Product C,10,876.04
2024-07-17,David,Product B,8,323.67
2024-07-17,David,Product C,13,457.65
2024-07-17,Charlie,Product A,7,320.18
2024-07-17,Bob,Product B,5,346.37
2024-07-17,David,Product B,16,858.57
2024-07-17,Bob,Product C,7,596.04
2024-07-16,David,Product A,14,592.62
2024-07-16,Charlie,Product C,10,475.23
2024-07-16,Charlie,Product C,8,468.85
2024-07-16,Alice,Product C,10,324.87
2024-07-16,David,Product A,5,280.4
2024-07-16,Charlie,Product B,3,188.69
2024-07-16,Alice,Product A,15,908.33
2024-07-15,Bob,Product C,8,618.55
2024-07-15,Alice,Product A,7,347.91
2024-07-15,Alice,Product A,16,1489.68
2024-07-15,Bob,Product B,6,302.39
2024-07-15,David,Product C,6,369.25
2024-07-14,David,Product C,4,219.53
2024-07-14,Bob,Product C,8,583.98
2024-07-14,Charlie,Product B,6,474.87
2024-07-14,David,Product B,5,91.01
2024-07-14,David,Product B,9,444.56
2024-07-14,David,Product C,8,547.09
2024-07-14,Alice,Product C,6,89.97
2024-07-14,Alice,Product B,6,199.54
2024-07-14,David,Product C,10,187.14
2024-07-13,David,Product B,15,202.43
2024-07-13,David,Product A,18,1532.24
2024-07-13,Alice,Product B,13,1042.71
2024-07-13,Bob,Product C,6,226.51
2024-07-13,Bob,Product C,12,417.68
2024-07-13,David,Product C,4,328.17
2024-07-13,Bob,Product A,9,880.36
2024-07-13,David,Product B,1,21.29
2024-07-12,Alice,Product B,10,707.37
2024-07-12,Alice,Product B,19,470.31
2024-07-12,Charlie,Product C,3,104.43
2024-07-12,David,Product B,4,353.94
2024-07-12,David,Product A,3,215.51
2024-07-11,Alice,Product A,2,55.28
2024-07-11,Charlie,Product B,13,1143.05
2024-07-11,Charlie,Product A,6,337.3
2024-07-11,Alice,Product A,16,1231.5
2024-07-11,Alice,Product C,7,602.08
2024-07-10,Alice,Product B,5,164.42
2024-07-10,Alice,Product B,7,514.34
2024-07-10,David,Product A,16,1051.0
2024-07-10,Alice,Product A,2,141.12
2024-07-10,Alice,Product B,10,996.41
2024-07-10,David,Product B,5,447.66
2024-07-10,Charlie,Product B,11,182.58
2024-07-10,Alice,Product B,17,1415.81
2024-07-10,David,Product B,7,218.58
2024-07-09,David,Product B,4,75.61
2024-07-09,Charlie,Product C,16,937.6
2024-07-09,Charlie,Product B,9,413.27
2024-07-09,David,Product A,20,1327.96
2024-07-09,Bob,Product C,8,285.68
2024-07-08,Alice,Product A,5,189.66
2024-07-08,Alice,Product B,4,41.78
2024-07-08,Bob,Product C,19,428.67
2024-07-08,Bob,Product C,7,414.42
2024-07-08,Charlie,Product C,10,394.13
2024-07-07,Bob,Product C,8,508.1
2024-07-07,Bob,Product B,13,1194.03
2024-07-07,Bob,Product B,6,243.98
2024-07-07,Bob,Product C,4,398.11
2024-07-07,Bob,Product C,4,79.11
2024-07-07,Charlie,Product C,7,420.67
2024-07-06,David,Product A,18,315.31
2024-07-06,David,Product A,8,688.81
2024-07-06,Alice,Product A,5,467.48
2024-07-06,Bob,Product A,18,259.82
2024-07-06,Alice,Product B,4,327.87
2024-07-06,Alice,Product B,10,558.52
2024-07-06,Charlie,Product A,2,41.89
2024-07-06,Charlie,Product C,19,197.91
2024-07-06,Charlie,Product C,7,205.45
2024-07-06,Charlie,Product B,18,1549.55
2024-07-05,David,Product B,8,303.3
2024-07-05,Charlie,Product B,1,51.39
2024-07-05,David,Product B,13,1021.99
2024-07-05,Charlie,Product A,13,833.86
2024-07-05,Alice,Product A,7,157.01
2024-07-05,Charlie,Product C,2,74.46
2024-07-04,Bob,Product C,5,187.97
2024-07-04,David,Product C,14,1111.64
2024-07-04,Bob,Product A,8,778.78
2024-07-04,Charlie,Product C,11,990.97
2024-07-04,Bob,Product B,5,77.2
2024-07-04,Alice,Product B,18,726.27
2024-07-04,Alice,Product B,1,67.23
2024-07-04,Charlie,Product A,11,473.8
2024-07-03,Alice,Product C,9,745.58
2024-07-03,Charlie,Product A,12,1187.39
2024-07-03,David,Product A,12,191.26
2024-07-03,Bob,Product A,17,458.01
2024-07-03,Bob,Product C,11,988.0
2024-07-03,Charlie,Product A,16,1510.61
2024-07-03,Bob,Product B,18,602.28
2024-07-03,Charlie,Product C,18,289.08
2024-07-03,Charlie,Product A,18,1705.59
2024-07-02,Alice,Product B,6,164.32
2024-07-02,Alice,Product C,13,1089.8
2024-07-02,Bob,Product B,5,411.99
2024-07-02,Alice,Product B,12,1068.22
2024-07-02,Charlie,Product C,19,653.49
2024-07-02,Alice,Product B,7,220.39
2024-07-01,David,Product B,3,127.72
2024-07-01,Charlie,Product B,12,934.68
2024-07-01,Alice,Product B,15,1311.02
2024-07-01,Alice,Product C,15,752.18
2024-07-01,Charlie,Product B,16,703.24
2024-07-01,David,Product B,4,335.06
2024-07-01,David,Product B,2,167.82
2024-07-01,Bob,Product C,4,397.74
2024-06-30,Alice,Product C,4,323.18
2024-06-30,Alice,Product B,3,198.78
2024-06-30,Charlie,Product C,4,252.72
2024-06-30,Bob,Product B,3,216.53
2024-06-30,Bob,Product A,12,777.2
2024-06-30,Alice,Product A,8,122.01
2024-06-30,Bob,Product A,16,1454.52
2024-06-29,Alice,Product A,18,491.34
2024-06-29,Charlie,Product C,8,790.21
2024-06-29,Alice,Product A,7,628.08
2024-06-29,Alice,Product B,3,115.72
2024-06-29,Bob,Product A,14,566.4
2024-06-29,Charlie,Product B,19,625.63
2024-06-29,Bob,Product C,15,1025.68
2024-06-28,Bob,Product A,2,51.56
2024-06-28,David,Product B,19,1843.03
2024-06-28,David,Product A,8,361.4
2024-06-28,Bob,Product B,11,1079.25
2024-06-28,Charlie,Product B,11,1070.88
2024-06-28,Bob,Product C,8,723.64
2024-06-28,Charlie,Product B,4,397.99
2024-06-27,Alice,Product C,18,1382.98
2024-06-27,Alice,Product B,19,1661.93
2024-06-27,Bob,Product A,10,306.64
2024-06-27,Bob,Product A,9,307.9
2024-06-27,David,Product B,10,695.65
2024-06-27,Alice,Product C,5,220.54
2024-06-27,David,Product C,5,318.83
2024-06-27,Charlie,Product A,8,554.03
2024-06-26,Charlie,Product C,10,671.45
2024-06-26,Charlie,Product C,3,36.19
2024-06-26,David,Product A,4,52.71
2024-06-26,Bob,Product A,17,471.6
2024-06-26,Bob,Product C,3,167.15
2024-06-26,Charlie,Product B,17,195.4
2024-06-26,David,Product A,16,1239.01
2024-06-25,Alice,Product C,12,338.86
2024-06-25,Bob,Product A,13,588.59
2024-06-25,Bob,Product A,5,366.97
2024-06-25,Bob,Product B,1,30.85
2024-06-25,Charlie,Product A,12,1010.68
2024-06-24,Alice,Product C,7,475.95
2024-06-24,Alice,Product C,1,32.21
2024-06-24,Alice,Product C,9,413.58
2024-06-24,Alice,Product B,8,189.02
2024-06-24,Charlie,Product A,15,463.73
2024-06-24,David,Product B,2,183.41
2024-06-24,Charlie,Product A,9,353.67
2024-06-24,Charlie,Product B,11,536.07
2024-06-23,Charlie,Product C,2,187.89
2024-06-23,Charlie,Product C,16,842.34
2024-06-23,Charlie,Product B,6,168.26
2024-06-23,Bob,Product A,3,144.87
2024-06-23,Bob,Product A,3,36.57
2024-06-23,David,Product C,9,470.1
2024-06-22,Bob,Product A,16,778.91
2024-06-22,Alice,Product C,18,1752.44
2024-06-22,Charlie,Product C,4,292.28
2024-06-22,David,Product A,15,965.56
2024-06-22,Bob,Product B,13,885.16
2024-06-22,Charlie,Product A,16,461.77
2024-06-22,David,Product A,5,151.48
2024-06-22,David,Product C,19,1377.05
2024-06-22,Charlie,Product C,3,236.77
2024-06-22,Bob,Product C,4,344.66
2024-06-21,David,Product B,5,277.55
2024-06-21,Bob,Product C,16,961.58
2024-06-21,David,Product A,6,249.91
2024-06-21,David,Product C,15,1181.75
2024-06-21,David,Product B,7,558.72
2024-06-21,David,Product A,4,255.24
2024-06-21,Bob,Product B,8,692.71
2024-06-20,David,Product A,11,669.52
2024-06-20,Alice,Product A,2,145.29
2024-06-20,Bob,Product C,15,1201.65
2024-06-20,David,Product B,17,924.73
2024-06-20,David,Product C,18,523.36
2024-06-20,Bob,Product C,20,1100.84
